#File	/home/pi/RbData/2018-03-20/POL2018-03-20_104753.dat
#Comments	Run 2/7, AOUT=312, temp=120.5,  Stepping temp from 135.5 to 115 in steps of 3, 500 mTorr, AOUT=312, pump=s+
#IonGauge(Torr):	3.52E-04
#CVGauge(N2)(Torr):	5.92E-01
#CVGauge(He)(Torr):	1.16E-03
#CURTEMP_R(degC):	120.400002
#SETTEMP_R(degC):	120.500000
#CURTEMP_T(degC):	150.000000
#SETTEMP_T(degC):	150.000000
#AOUT:	312
#LEAKCURR:	0.000000
#SCALE:	6
#AOUTCONV:	0.031007
#REV:	1
#DATAPPR:	60
#STPPERREV:	1200
#DATPTS:	60
#DWELL(s):	1
STEP	COUNT	CURRENT	CURRENTsd	ANGLE
0	2835	-0.353566	0.000611	0.000000
20	2858	-0.355398	0.001221	0.104720
40	2843	-0.353566	0.000611	0.209440
60	2804	-0.355398	0.001221	0.314159
80	2890	-0.355398	0.001221	0.418879
100	2913	-0.354787	0.001832	0.523599
120	2841	-0.352956	0.001221	0.628319
140	2822	-0.355398	0.001221	0.733038
160	2810	-0.354177	0.001221	0.837758
180	2745	-0.354177	0.000000	0.942478
200	2880	-0.356009	0.000611	1.047198
220	2830	-0.355398	0.000000	1.151917
240	2877	-0.356009	0.000611	1.256637
260	2932	-0.354177	0.000000	1.361357
280	2782	-0.353566	0.000611	1.466077
300	2871	-0.352345	0.001832	1.570796
320	2853	-0.352956	0.001221	1.675516
340	2669	-0.352345	0.000611	1.780236
360	2636	-0.353566	0.000611	1.884956
380	2590	-0.353566	0.000611	1.989675
400	2673	-0.352956	0.000000	2.094395
420	2541	-0.353566	0.000611	2.199115
440	2586	-0.353566	0.001832	2.303835
460	2750	-0.352956	0.001221	2.408554
480	2791	-0.352345	0.000611	2.513274
500	2719	-0.354177	0.002443	2.617994
520	2695	-0.351734	0.001221	2.722714
540	2898	-0.351734	0.000000	2.827433
560	2891	-0.351734	0.000000	2.932153
580	2941	-0.352345	0.000611	3.036873
600	2895	-0.351124	0.000611	3.141593
620	2834	-0.352956	0.001221	3.246312
640	2901	-0.352345	0.000611	3.351032
660	2781	-0.352345	0.000611	3.455752
680	2823	-0.352345	0.000611	3.560472
700	2803	-0.351734	0.000000	3.665191
720	2730	-0.352956	0.001221	3.769911
740	2780	-0.351124	0.000611	3.874631
760	2892	-0.352345	0.000611	3.979351
780	2803	-0.352345	0.000611	4.084070
800	2906	-0.352345	0.001832	4.188790
820	2903	-0.352345	0.000611	4.293510
840	2921	-0.351734	0.001221	4.398230
860	2903	-0.351734	0.000000	4.502949
880	2804	-0.351124	0.001832	4.607669
900	2725	-0.352345	0.000611	4.712389
920	2672	-0.351734	0.000000	4.817109
940	2635	-0.351734	0.001221	4.921829
960	2594	-0.351124	0.000611	5.026548
980	2774	-0.351734	0.000000	5.131268
1000	2639	-0.351124	0.000611	5.235988
1020	2545	-0.351124	0.000611	5.340708
1040	2750	-0.351124	0.001832	5.445427
1060	2613	-0.349902	0.000611	5.550147
1080	2617	-0.351124	0.000611	5.654867
1100	2732	-0.351124	0.000611	5.759587
1120	2797	-0.351734	0.000000	5.864306
1140	2820	-0.349292	0.000000	5.969026
1160	2849	-0.349292	0.000000	6.073746
1180	2898	-0.349902	0.000611	6.178466
