#File	/home/pi/RbData/2018-03-20/POL2018-03-20_105738.dat
#Comments	Run 4/7, AOUT=312, temp=120.5,  Stepping temp from 135.5 to 115 in steps of 3, 500 mTorr, AOUT=312, pump=s-
#IonGauge(Torr):	3.61E-04
#CVGauge(N2)(Torr):	5.92E-01
#CVGauge(He)(Torr):	1.16E-03
#CURTEMP_R(degC):	120.400002
#SETTEMP_R(degC):	120.500000
#CURTEMP_T(degC):	150.000000
#SETTEMP_T(degC):	150.000000
#AOUT:	312
#LEAKCURR:	0.000000
#SCALE:	6
#AOUTCONV:	0.031007
#REV:	1
#DATAPPR:	60
#STPPERREV:	1200
#DATPTS:	60
#DWELL(s):	1
STEP	COUNT	CURRENT	CURRENTsd	ANGLE
0	2809	-0.356619	0.000000	0.000000
20	2848	-0.355398	0.000000	0.104720
40	2799	-0.356009	0.000611	0.209440
60	2707	-0.356619	0.000000	0.314159
80	2686	-0.354787	0.001832	0.418879
100	2800	-0.356009	0.000611	0.523599
120	2713	-0.355398	0.001221	0.628319
140	2775	-0.356009	0.000611	0.733038
160	2708	-0.354177	0.000000	0.837758
180	2757	-0.356009	0.000611	0.942478
200	2805	-0.356619	0.000000	1.047198
220	2840	-0.355398	0.001221	1.151917
240	2868	-0.354787	0.000611	1.256637
260	2884	-0.355398	0.001221	1.361357
280	2968	-0.356619	0.000000	1.466077
300	2807	-0.352956	0.001221	1.570796
320	2753	-0.354177	0.000000	1.675516
340	2766	-0.354177	0.001221	1.780236
360	2750	-0.353566	0.001832	1.884956
380	2714	-0.353566	0.000611	1.989675
400	2700	-0.354787	0.000611	2.094395
420	2775	-0.354177	0.000000	2.199115
440	2766	-0.353566	0.000611	2.303835
460	2847	-0.352956	0.000000	2.408554
480	2813	-0.352345	0.000611	2.513274
500	2918	-0.352956	0.001221	2.617994
520	2852	-0.352345	0.000611	2.722714
540	2943	-0.354177	0.001221	2.827433
560	2865	-0.352345	0.001832	2.932153
580	2795	-0.352345	0.000611	3.036873
600	2690	-0.352956	0.000000	3.141593
620	2808	-0.354177	0.000000	3.246312
640	2714	-0.351734	0.000000	3.351032
660	2700	-0.351734	0.000000	3.455752
680	2689	-0.352956	0.001221	3.560472
700	2768	-0.351124	0.001832	3.665191
720	2710	-0.351124	0.000611	3.769911
740	2652	-0.352345	0.000611	3.874631
760	2671	-0.351734	0.000000	3.979351
780	2693	-0.351734	0.000000	4.084070
800	2851	-0.351734	0.000000	4.188790
820	2759	-0.351734	0.000000	4.293510
840	2872	-0.351734	0.002443	4.398230
860	2867	-0.351124	0.000611	4.502949
880	2783	-0.351734	0.000000	4.607669
900	2901	-0.352956	0.001221	4.712389
920	2655	-0.352345	0.000611	4.817109
940	2798	-0.352345	0.000611	4.921829
960	2825	-0.352345	0.000611	5.026548
980	2730	-0.351734	0.000000	5.131268
1000	2613	-0.351124	0.000611	5.235988
1020	2751	-0.351734	0.000000	5.340708
1040	2766	-0.351734	0.000000	5.445427
1060	2763	-0.350513	0.001221	5.550147
1080	2838	-0.352345	0.000611	5.654867
1100	2819	-0.351734	0.000000	5.759587
1120	2809	-0.352345	0.000611	5.864306
1140	2939	-0.349902	0.000611	5.969026
1160	2763	-0.351734	0.000000	6.073746
1180	2857	-0.351124	0.000611	6.178466
