#File	/home/pi/RbData/2018-03-20/POL2018-03-20_105209.dat
#Comments	Run 3/7, AOUT=312, temp=120.5,  Stepping temp from 135.5 to 115 in steps of 3, 500 mTorr, AOUT=312, pump=s+
#IonGauge(Torr):	3.61E-04
#CVGauge(N2)(Torr):	5.92E-01
#CVGauge(He)(Torr):	1.17E-03
#CURTEMP_R(degC):	120.400002
#SETTEMP_R(degC):	120.500000
#CURTEMP_T(degC):	150.000000
#SETTEMP_T(degC):	150.000000
#AOUT:	312
#LEAKCURR:	0.000000
#SCALE:	6
#AOUTCONV:	0.031007
#REV:	1
#DATAPPR:	60
#STPPERREV:	1200
#DATPTS:	60
#DWELL(s):	1
STEP	COUNT	CURRENT	CURRENTsd	ANGLE
0	2885	-0.357230	0.000611	0.000000
20	2889	-0.357841	0.000000	0.104720
40	2844	-0.357230	0.000611	0.209440
60	2784	-0.356619	0.000000	0.314159
80	2920	-0.357841	0.001221	0.418879
100	2809	-0.358451	0.000611	0.523599
120	2884	-0.357841	0.001221	0.628319
140	2897	-0.357230	0.000611	0.733038
160	2879	-0.358451	0.001832	0.837758
180	2880	-0.357841	0.001221	0.942478
200	2958	-0.358451	0.000611	1.047198
220	2863	-0.357841	0.000000	1.151917
240	2869	-0.357841	0.000000	1.256637
260	2877	-0.357230	0.000611	1.361357
280	2884	-0.357841	0.000000	1.466077
300	2872	-0.359062	0.000000	1.570796
320	2681	-0.357841	0.002443	1.675516
340	2845	-0.359673	0.000611	1.780236
360	2654	-0.358451	0.000611	1.884956
380	2648	-0.357841	0.000000	1.989675
400	2723	-0.357230	0.000611	2.094395
420	2647	-0.357230	0.000611	2.199115
440	2782	-0.358451	0.000611	2.303835
460	2757	-0.356009	0.001832	2.408554
480	2701	-0.359062	0.001221	2.513274
500	2877	-0.358451	0.000611	2.617994
520	2900	-0.357841	0.001221	2.722714
540	2873	-0.355398	0.001221	2.827433
560	2892	-0.357841	0.000000	2.932153
580	2879	-0.357841	0.000000	3.036873
600	2938	-0.357841	0.001221	3.141593
620	3002	-0.357841	0.001221	3.246312
640	2959	-0.357841	0.000000	3.351032
660	2855	-0.357841	0.001221	3.455752
680	2849	-0.356619	0.000000	3.560472
700	2832	-0.357230	0.000611	3.665191
720	2786	-0.356619	0.000000	3.769911
740	2815	-0.357841	0.001221	3.874631
760	2795	-0.356619	0.000000	3.979351
780	2949	-0.358451	0.001832	4.084070
800	2862	-0.356009	0.000611	4.188790
820	2888	-0.355398	0.001221	4.293510
840	2887	-0.356009	0.000611	4.398230
860	2851	-0.357230	0.000611	4.502949
880	2938	-0.356619	0.000000	4.607669
900	2807	-0.356619	0.000000	4.712389
920	2710	-0.356619	0.002443	4.817109
940	2638	-0.355398	0.001221	4.921829
960	2628	-0.356009	0.000611	5.026548
980	2734	-0.357230	0.000611	5.131268
1000	2611	-0.357841	0.001221	5.235988
1020	2661	-0.356619	0.000000	5.340708
1040	2748	-0.355398	0.001221	5.445427
1060	2688	-0.357841	0.001221	5.550147
1080	2783	-0.358451	0.001832	5.654867
1100	2761	-0.359062	0.001221	5.759587
1120	2817	-0.359673	0.000611	5.864306
1140	2755	-0.360894	0.000611	5.969026
1160	2954	-0.360283	0.001221	6.073746
1180	2924	-0.360283	0.001221	6.178466
