#File	/home/pi/RbData/2018-03-20/POL2018-03-20_110153.dat
#Comments	Run 5/7, AOUT=312, temp=120.5,  Stepping temp from 135.5 to 115 in steps of 3, 500 mTorr, AOUT=312, pump=s-
#IonGauge(Torr):	3.61E-04
#CVGauge(N2)(Torr):	5.92E-01
#CVGauge(He)(Torr):	1.16E-03
#CURTEMP_R(degC):	120.400002
#SETTEMP_R(degC):	120.500000
#CURTEMP_T(degC):	149.899994
#SETTEMP_T(degC):	150.000000
#AOUT:	312
#LEAKCURR:	0.000000
#SCALE:	6
#AOUTCONV:	0.031007
#REV:	1
#DATAPPR:	60
#STPPERREV:	1200
#DATPTS:	60
#DWELL(s):	1
STEP	COUNT	CURRENT	CURRENTsd	ANGLE
0	2793	-0.345017	0.001832	0.000000
20	2740	-0.343796	0.000611	0.104720
40	2666	-0.343796	0.000611	0.209440
60	2634	-0.343185	0.001221	0.314159
80	2663	-0.343796	0.000611	0.418879
100	2694	-0.343185	0.001221	0.523599
120	2629	-0.341964	0.000000	0.628319
140	2718	-0.343185	0.000000	0.733038
160	2695	-0.343796	0.000611	0.837758
180	2687	-0.345628	0.001221	0.942478
200	2719	-0.343796	0.000611	1.047198
220	2854	-0.344406	0.001221	1.151917
240	2788	-0.343185	0.001221	1.256637
260	2740	-0.342575	0.001832	1.361357
280	2961	-0.343185	0.000000	1.466077
300	2805	-0.345017	0.000611	1.570796
320	2653	-0.343796	0.000611	1.675516
340	2684	-0.343185	0.001221	1.780236
360	2638	-0.344406	0.000000	1.884956
380	2682	-0.343796	0.001832	1.989675
400	2672	-0.343185	0.001221	2.094395
420	2706	-0.343185	0.000000	2.199115
440	2646	-0.345017	0.000611	2.303835
460	2780	-0.343185	0.001221	2.408554
480	2780	-0.343796	0.000611	2.513274
500	2804	-0.343796	0.000611	2.617994
520	2727	-0.341964	0.001221	2.722714
540	2668	-0.342575	0.000611	2.827433
560	2820	-0.343796	0.000611	2.932153
580	2770	-0.344406	0.000000	3.036873
600	2771	-0.342575	0.001832	3.141593
620	2688	-0.342575	0.000611	3.246312
640	2647	-0.342575	0.000611	3.351032
660	2598	-0.341964	0.001221	3.455752
680	2560	-0.342575	0.000611	3.560472
700	2630	-0.343185	0.000000	3.665191
720	2612	-0.342575	0.000611	3.769911
740	2647	-0.345628	0.001221	3.874631
760	2723	-0.346238	0.001832	3.979351
780	2658	-0.345017	0.000611	4.084070
800	2769	-0.344406	0.000000	4.188790
820	2806	-0.344406	0.000000	4.293510
840	2750	-0.346849	0.000000	4.398230
860	2851	-0.345017	0.000611	4.502949
880	2763	-0.345017	0.000611	4.607669
900	2661	-0.346238	0.000611	4.712389
920	2773	-0.346849	0.000000	4.817109
940	2762	-0.346238	0.000611	4.921829
960	2875	-0.347460	0.000611	5.026548
980	2733	-0.346238	0.000611	5.131268
1000	2784	-0.347460	0.000611	5.235988
1020	2672	-0.347460	0.000611	5.340708
1040	2731	-0.348070	0.001221	5.445427
1060	2689	-0.347460	0.000611	5.550147
1080	2762	-0.346238	0.001832	5.654867
1100	2822	-0.348681	0.000611	5.759587
1120	2828	-0.348070	0.000000	5.864306
1140	2757	-0.349292	0.001221	5.969026
1160	2753	-0.347460	0.000611	6.073746
1180	2723	-0.348070	0.000000	6.178466
