#File	/home/pi/RbData/2019-03-15/POL2019-03-15_192330.dat
#Comments	Run 2/2, AOUT=672, variac->14, nRb->6*^12, pRb->.4, AOUT->672, pump->none, Run 3/3
#IonGauge(Torr):	2.38E-02
#CVGauge(N2)(Torr):	7.64E-02
#CVGauge(He)(Torr):	1.56E-03
#CURTEMP_R(degC):	-1.000000
#SETTEMP_R(degC):	-1.000000
#CURTEMP_T(degC):	-1.000000
#SETTEMP_T(degC):	-1.000000
#Voltage_He:	672
#LEAKCURR:	0.000000
#SCALE:	6
#AOUTCONV:	0.062140
#REV:	1
#DATAPPR:	60
#STPPERREV:	1200
#DATPTS:	60
#DWELL(s):	1
#QWP(STEP):	082
STEP	COUNT	CURRENT	CURRENTsd	ANGLE
0	133	-1.770884e-01	-0.088050	0.000000
20	133	-1.978505e-01	-0.029940	0.104720
40	165	-1.795310e-01	-0.054662	0.209440
60	137	-2.015144e-01	0.041009	0.314159
80	123	-1.954079e-01	-0.003115	0.418879
100	151	-1.917440e-01	0.019481	0.523599
120	163	-1.954079e-01	0.015873	0.628319
140	129	-1.917440e-01	0.016181	0.733038
160	125	-1.966292e-01	0.015773	0.837758
180	126	-1.758671e-01	0.021277	0.942478
200	118	-1.941866e-01	-0.009346	1.047198
220	140	-1.954079e-01	-0.006211	1.151917
240	131	-2.063996e-01	0.059561	1.256637
260	134	-1.868588e-01	0.016611	1.361357
280	143	-1.941866e-01	0.003155	1.466077
300	151	-1.636541e-01	-0.100671	1.570796
320	141	-2.112848e-01	0.064615	1.675516
340	150	-1.819736e-01	-0.022951	1.780236
360	142	-1.954079e-01	0.022364	1.884956
380	167	-1.954079e-01	-0.033233	1.989675
400	154	-1.770884e-01	-0.023569	2.094395
420	127	-1.880801e-01	-0.006452	2.199115
440	128	-2.002931e-01	0.051282	2.303835
460	131	-1.905227e-01	0.026316	2.408554
480	144	-1.770884e-01	-0.033333	2.513274
500	132	-1.917440e-01	0.012903	2.617994
520	115	-1.954079e-01	-0.000000	2.722714
540	161	-1.966292e-01	0.066225	2.827433
560	146	-2.076209e-01	0.014925	2.932153
580	129	-1.807523e-01	-0.038961	3.036873
600	150	-1.954079e-01	0.035599	3.141593
620	147	-1.954079e-01	0.056106	3.246312
640	143	-1.990718e-01	0.051613	3.351032
660	123	-1.575476e-01	-0.054945	3.455752
680	132	-1.758671e-01	-0.013699	3.560472
700	146	-1.770884e-01	-0.039735	3.665191
720	147	-1.758671e-01	-0.052632	3.769911
740	144	-1.844162e-01	-0.000000	3.874631
760	127	-1.954079e-01	0.012658	3.979351
780	152	-1.917440e-01	0.009646	4.084070
800	135	-1.844162e-01	-0.035144	4.188790
820	123	-1.746458e-01	-0.020548	4.293510
840	148	-1.880801e-01	0.016502	4.398230
860	115	-1.868588e-01	0.040816	4.502949
880	139	-1.893014e-01	0.009772	4.607669
900	132	-1.856375e-01	-0.009772	4.712389
920	144	-1.758671e-01	-0.033557	4.817109
940	140	-1.807523e-01	-0.010033	4.921829
960	120	-1.612115e-01	-0.063830	5.026548
980	128	-1.807523e-01	0.003390	5.131268
1000	167	-1.758671e-01	-0.076923	5.235988
1020	132	-1.844162e-01	0.067138	5.340708
1040	141	-1.709819e-01	-0.041096	5.445427
1060	138	-1.770884e-01	0.028369	5.550147
1080	127	-1.709819e-01	-0.024390	5.654867
1100	139	-1.856375e-01	0.003300	5.759587
1120	165	-1.880801e-01	0.026667	5.864306
1140	141	-1.783097e-01	-0.026667	5.969026
1160	136	-1.783097e-01	-0.042623	6.073746
1180	120	-1.783097e-01	-0.051948	6.178466
