#File	/home/pi/RbData/2019-03-15/POL2019-03-15_190109.dat
#Comments	Run 1/2, AOUT=672, variac->14, nRb->6*^12, pRb->.4, AOUT->672, pump->s+, Run 3/3
#IonGauge(Torr):	2.23E-02
#CVGauge(N2)(Torr):	7.27E-02
#CVGauge(He)(Torr):	1.50E-03
#CURTEMP_R(degC):	-1.000000
#SETTEMP_R(degC):	-1.000000
#CURTEMP_T(degC):	-1.000000
#SETTEMP_T(degC):	-1.000000
#Voltage_He:	672
#LEAKCURR:	0.000000
#SCALE:	6
#AOUTCONV:	0.062140
#REV:	1
#DATAPPR:	60
#STPPERREV:	1200
#DATPTS:	60
#DWELL(s):	1
#QWP(STEP):	170
STEP	COUNT	CURRENT	CURRENTsd	ANGLE
0	135	-1.844162e-01	-0.009836	0.000000
20	134	-1.819736e-01	0.087591	0.104720
40	131	-1.709819e-01	-0.066667	0.209440
60	137	-1.709819e-01	-0.014085	0.314159
80	149	-1.807523e-01	0.038596	0.418879
100	111	-1.831949e-01	0.020408	0.523599
120	154	-1.746458e-01	-0.030508	0.628319
140	117	-1.697606e-01	-0.031359	0.733038
160	121	-1.758671e-01	-0.023729	0.837758
180	156	-1.978505e-01	0.098305	0.942478
200	111	-1.856375e-01	0.097473	1.047198
220	150	-1.868588e-01	0.030303	1.151917
240	133	-2.002931e-01	0.068404	1.256637
260	122	-1.917440e-01	0.029508	1.361357
280	109	-1.831949e-01	-0.013158	1.466077
300	102	-1.660967e-01	-0.007299	1.570796
320	125	-1.660967e-01	-0.074830	1.675516
340	127	-1.893014e-01	0.043771	1.780236
360	124	-1.929653e-01	0.032680	1.884956
380	124	-1.807523e-01	0.042254	1.989675
400	119	-1.868588e-01	0.023411	2.094395
420	126	-1.856375e-01	-0.009772	2.199115
440	120	-1.783097e-01	-0.081761	2.303835
460	121	-1.746458e-01	-0.020548	2.408554
480	124	-1.868588e-01	0.040816	2.513274
500	129	-1.917440e-01	0.029508	2.617994
520	120	-1.905227e-01	0.022951	2.722714
540	122	-1.941866e-01	0.035831	2.827433
560	135	-1.905227e-01	-0.025000	2.932153
580	145	-1.758671e-01	-0.097179	3.036873
600	116	-1.978505e-01	0.031847	3.141593
620	138	-1.831949e-01	-0.038462	3.246312
640	134	-2.051783e-01	0.005988	3.351032
660	134	-2.125061e-01	0.035714	3.455752
680	154	-1.954079e-01	0.003135	3.560472
700	163	-2.051783e-01	-0.014663	3.665191
720	175	-2.039570e-01	0.024540	3.769911
740	158	-2.063996e-01	0.027356	3.874631
760	162	-1.954079e-01	-0.047619	3.979351
780	148	-2.015144e-01	-0.009009	4.084070
800	160	-1.929653e-01	0.046358	4.188790
820	159	-2.149487e-01	0.047619	4.293510
840	166	-2.112848e-01	0.014663	4.398230
860	157	-2.125061e-01	0.032641	4.502949
880	145	-2.063996e-01	0.027356	4.607669
900	132	-2.039570e-01	0.018293	4.712389
920	163	-1.868588e-01	-0.049689	4.817109
940	133	-1.783097e-01	-0.073016	4.921829
960	169	-1.880801e-01	-0.019108	5.026548
980	144	-2.259404e-01	0.010929	5.131268
1000	155	-2.198339e-01	0.058824	5.235988
1020	138	-2.051783e-01	0.012048	5.340708
1040	149	-1.966292e-01	-0.061225	5.445427
1060	135	-1.856375e-01	-0.041009	5.550147
1080	165	-1.917440e-01	-0.030864	5.654867
1100	154	-1.880801e-01	-0.031447	5.759587
1120	123	-1.990718e-01	-0.035503	5.864306
1140	116	-1.880801e-01	0.009836	5.969026
1160	148	-2.076209e-01	0.021021	6.073746
1180	138	-1.954079e-01	0.009464	6.178466
