#File	/home/pi/RbData/2019-03-15/POL2019-03-15_185826.dat
#Comments	Run 1/2, AOUT=672, variac->14, nRb->6*^12, pRb->.4, AOUT->672, pump->s-, Run 2/3
#IonGauge(Torr):	2.26E-02
#CVGauge(N2)(Torr):	7.30E-02
#CVGauge(He)(Torr):	1.49E-03
#CURTEMP_R(degC):	-1.000000
#SETTEMP_R(degC):	-1.000000
#CURTEMP_T(degC):	-1.000000
#SETTEMP_T(degC):	-1.000000
#Voltage_He:	672
#LEAKCURR:	0.000000
#SCALE:	6
#AOUTCONV:	0.062140
#REV:	1
#DATAPPR:	60
#STPPERREV:	1200
#DATPTS:	60
#DWELL(s):	1
#QWP(STEP):	082
STEP	COUNT	CURRENT	CURRENTsd	ANGLE
0	105	-1.624328e-01	-0.053381	0.000000
20	132	-1.783097e-01	0.042857	0.104720
40	122	-1.575476e-01	-0.026415	0.209440
60	138	-1.783097e-01	0.028169	0.314159
80	112	-1.758671e-01	-0.006897	0.418879
100	138	-1.697606e-01	-0.010676	0.523599
120	112	-1.807523e-01	0.034965	0.628319
140	137	-1.624328e-01	-0.069930	0.733038
160	128	-1.697606e-01	-0.007143	0.837758
180	124	-1.758671e-01	0.017668	0.942478
200	111	-1.746458e-01	0.043796	1.047198
220	121	-1.746458e-01	0.040000	1.151917
240	141	-1.722032e-01	-0.000000	1.256637
260	106	-1.722032e-01	0.032967	1.361357
280	103	-1.819736e-01	0.034722	1.466077
300	131	-1.819736e-01	0.049296	1.570796
320	117	-1.709819e-01	-0.020979	1.675516
340	136	-1.807523e-01	0.038596	1.780236
360	101	-1.673180e-01	-0.017921	1.884956
380	130	-1.807523e-01	0.020690	1.989675
400	122	-1.795310e-01	0.010309	2.094395
420	138	-1.734245e-01	-0.020690	2.199115
440	139	-1.856375e-01	-0.025641	2.303835
460	125	-1.722032e-01	-0.017422	2.408554
480	147	-1.746458e-01	0.036232	2.513274
500	129	-1.905227e-01	0.043478	2.617994
520	121	-1.880801e-01	0.033557	2.722714
540	120	-1.709819e-01	-0.020979	2.827433
560	134	-1.856375e-01	0.027027	2.932153
580	136	-1.489985e-01	-0.050584	3.036873
600	129	-1.795310e-01	0.010309	3.141593
620	125	-1.807523e-01	0.017182	3.246312
640	136	-1.673180e-01	-0.038596	3.351032
660	121	-1.612115e-01	-0.032967	3.455752
680	140	-1.734245e-01	-0.034014	3.560472
700	125	-1.734245e-01	0.032727	3.665191
720	140	-1.758671e-01	0.032258	3.769911
740	145	-1.819736e-01	0.017065	3.874631
760	133	-1.746458e-01	-0.033784	3.979351
780	115	-1.709819e-01	-0.054054	4.084070
800	134	-1.819736e-01	0.027586	4.188790
820	136	-1.856375e-01	-0.000000	4.293510
840	132	-1.563263e-01	-0.092199	4.398230
860	132	-1.856375e-01	0.041096	4.502949
880	126	-1.880801e-01	-0.012821	4.607669
900	157	-1.868588e-01	0.016611	4.712389
920	136	-1.917440e-01	0.032895	4.817109
940	118	-1.905227e-01	0.003215	4.921829
960	141	-1.563263e-01	-0.088968	5.026548
980	120	-1.917440e-01	0.012903	5.131268
1000	124	-1.709819e-01	-0.054054	5.235988
1020	132	-1.856375e-01	0.016722	5.340708
1040	133	-1.758671e-01	-0.017065	5.445427
1060	152	-1.783097e-01	-0.010169	5.550147
1080	125	-1.868588e-01	0.033784	5.654867
1100	127	-1.758671e-01	-0.067961	5.759587
1120	134	-1.660967e-01	-0.055556	5.864306
1140	118	-1.917440e-01	0.053691	5.969026
1160	129	-1.844162e-01	0.023729	6.073746
1180	140	-2.027357e-01	0.034268	6.178466
