#File	/home/pi/RbData/2019-03-15/POL2019-03-15_185433.dat
#Comments	Run 1/2, AOUT=672, variac->14, nRb->6*^12, pRb->.4, AOUT->672, pump->s-, Run 1/3
#IonGauge(Torr):	2.26E-02
#CVGauge(N2)(Torr):	7.28E-02
#CVGauge(He)(Torr):	1.47E-03
#CURTEMP_R(degC):	-1.000000
#SETTEMP_R(degC):	-1.000000
#CURTEMP_T(degC):	-1.000000
#SETTEMP_T(degC):	-1.000000
#Voltage_He:	672
#LEAKCURR:	0.000000
#SCALE:	6
#AOUTCONV:	0.062140
#REV:	1
#DATAPPR:	60
#STPPERREV:	1200
#DATPTS:	60
#DWELL(s):	1
#QWP(STEP):	082
STEP	COUNT	CURRENT	CURRENTsd	ANGLE
0	127	1.358085e+00	1.276356	0.000000
20	127	-1.648754e-01	-0.055944	0.104720
40	120	-1.880801e-01	0.013158	0.209440
60	121	-1.783097e-01	-0.006803	0.314159
80	134	-1.587689e-01	0.048387	0.418879
100	135	-1.746458e-01	0.055351	0.523599
120	109	-1.758671e-01	-0.003460	0.628319
140	130	-1.575476e-01	-0.022727	0.733038
160	141	-1.624328e-01	-0.014815	0.837758
180	119	-1.660967e-01	-0.014493	0.942478
200	123	-1.844162e-01	0.067138	1.047198
220	124	-1.648754e-01	0.015038	1.151917
240	103	-1.673180e-01	-0.024911	1.256637
260	118	-1.660967e-01	-0.007299	1.361357
280	131	-1.673180e-01	0.011070	1.466077
300	146	-1.660967e-01	-0.042254	1.570796
320	145	-1.770884e-01	0.035714	1.675516
340	146	-1.868588e-01	0.058824	1.780236
360	128	-1.660967e-01	-0.021583	1.884956
380	115	-1.612115e-01	-0.057143	1.989675
400	124	-1.722032e-01	0.040590	2.094395
420	112	-1.648754e-01	0.011236	2.199115
440	128	-1.648754e-01	0.084337	2.303835
460	137	-1.648754e-01	-0.039146	2.408554
480	128	-1.807523e-01	0.020690	2.513274
500	129	-1.660967e-01	0.014925	2.617994
520	129	-1.685393e-01	-0.017794	2.722714
540	109	-1.831949e-01	0.030928	2.827433
560	124	-1.392281e-01	-0.080645	2.932153
580	128	-1.502198e-01	-0.057471	3.036873
600	114	-1.612115e-01	-0.029412	3.141593
620	107	-1.575476e-01	-0.047970	3.246312
640	116	-1.648754e-01	0.003717	3.351032
660	121	-1.648754e-01	0.026616	3.455752
680	120	-1.697606e-01	0.010909	3.560472
700	120	-1.807523e-01	0.064748	3.665191
720	124	-1.648754e-01	0.015038	3.769911
740	125	-1.624328e-01	-0.000000	3.874631
760	131	-1.709819e-01	0.021898	3.979351
780	130	-1.660967e-01	-0.018051	4.084070
800	105	-1.612115e-01	-0.011236	4.188790
820	114	-1.648754e-01	-0.028777	4.293510
840	123	-1.734245e-01	0.044118	4.398230
860	147	-1.722032e-01	-0.010526	4.502949
880	107	-1.709819e-01	0.089494	4.607669
900	100	-1.795310e-01	0.031579	4.712389
920	134	-1.722032e-01	-0.037543	4.817109
940	121	-1.770884e-01	0.039427	4.921829
960	115	-1.917440e-01	0.057239	5.026548
980	134	-1.856375e-01	0.041096	5.131268
1000	125	-1.599902e-01	-0.011321	5.235988
1020	138	-1.660967e-01	0.003690	5.340708
1040	132	-1.563263e-01	-0.101754	5.445427
1060	154	-1.660967e-01	0.011152	5.550147
1080	156	-1.685393e-01	0.026022	5.654867
1100	149	-1.746458e-01	0.014184	5.759587
1120	118	-1.770884e-01	0.043165	5.864306
1140	102	-1.685393e-01	-0.003610	5.969026
1160	120	-1.673180e-01	-0.000000	6.073746
1180	99	-1.624328e-01	-0.007463	6.178466
