#File	/home/pi/RbData/2019-03-15/POL2019-03-15_185319.dat
#Comments	Run 1/2, AOUT=672, variac->14, nRb->6*^12, pRb->.4, AOUT->672, pump->s+, Run 1/3
#IonGauge(Torr):	2.29E-02
#CVGauge(N2)(Torr):	7.34E-02
#CVGauge(He)(Torr):	1.49E-03
#CURTEMP_R(degC):	-1.000000
#SETTEMP_R(degC):	-1.000000
#CURTEMP_T(degC):	-1.000000
#SETTEMP_T(degC):	-1.000000
#Voltage_He:	672
#LEAKCURR:	0.000000
#SCALE:	6
#AOUTCONV:	0.062140
#REV:	1
#DATAPPR:	60
#STPPERREV:	1200
#DATPTS:	60
#DWELL(s):	1
#QWP(STEP):	170
STEP	COUNT	CURRENT	CURRENTsd	ANGLE
0	149	-1.978505e-01	0.028571	0.000000
20	134	-2.100635e-01	0.033033	0.104720
40	138	-1.990718e-01	0.009288	0.209440
60	132	-1.966292e-01	0.022222	0.314159
80	111	-1.954079e-01	0.003135	0.418879
100	133	-1.917440e-01	-0.021807	0.523599
120	145	-1.856375e-01	-0.047022	0.628319
140	127	-1.819736e-01	-0.016502	0.733038
160	142	-1.856375e-01	-0.003279	0.837758
180	149	-1.868588e-01	-0.003257	0.942478
200	131	-1.978505e-01	-0.000000	1.047198
220	127	-2.002931e-01	0.021807	1.151917
240	134	-1.807523e-01	-0.038961	1.256637
260	140	-1.941866e-01	-0.015480	1.361357
280	139	-1.783097e-01	-0.075949	1.466077
300	125	-1.905227e-01	0.026316	1.570796
320	139	-1.990718e-01	0.021944	1.675516
340	134	-1.978505e-01	0.041801	1.780236
360	124	-1.917440e-01	-0.021807	1.884956
380	130	-1.893014e-01	-0.022082	1.989675
400	143	-1.929653e-01	0.032680	2.094395
420	136	-1.966292e-01	0.018987	2.199115
440	153	-1.954079e-01	-0.000000	2.303835
460	148	-1.819736e-01	-0.071651	2.408554
480	129	-2.002931e-01	0.012346	2.513274
500	129	-1.917440e-01	0.029508	2.617994
520	130	-1.941866e-01	0.035831	2.722714
540	131	-1.941866e-01	0.022508	2.827433
560	151	-1.807523e-01	0.038596	2.932153
580	126	-1.685393e-01	-0.003610	3.036873
600	144	-1.722032e-01	-0.000000	3.141593
620	122	-1.905227e-01	0.009709	3.246312
640	105	-1.807523e-01	-0.003367	3.351032
660	121	-1.685393e-01	-0.031579	3.455752
680	132	-1.831949e-01	0.023891	3.560472
700	152	-1.563263e-01	-0.044776	3.665191
720	148	-1.734245e-01	-0.006993	3.769911
740	133	-1.807523e-01	-0.010033	3.874631
760	129	-1.868588e-01	-0.025478	3.979351
780	142	-1.807523e-01	-0.026316	4.084070
800	132	-1.868588e-01	-0.040752	4.188790
820	164	-1.905227e-01	0.016287	4.293510
840	156	-2.100635e-01	0.078370	4.398230
860	127	-1.722032e-01	-0.034247	4.502949
880	137	-1.807523e-01	-0.023102	4.607669
900	149	-1.746458e-01	-0.020548	4.712389
920	118	-1.856375e-01	-0.052959	4.817109
940	130	-1.624328e-01	-0.053381	4.921829
960	133	-1.954079e-01	0.032258	5.026548
980	155	-1.746458e-01	-0.006944	5.131268
1000	141	-1.807523e-01	-0.006711	5.235988
1020	144	-1.893014e-01	0.026490	5.340708
1040	152	-1.758671e-01	-0.000000	5.445427
1060	128	-1.648754e-01	-0.102990	5.550147
1080	111	-1.954079e-01	0.056106	5.654867
1100	127	-1.807523e-01	0.013699	5.759587
1120	138	-1.966292e-01	0.066225	5.864306
1140	142	-1.795310e-01	0.038869	5.969026
1160	121	-1.856375e-01	-0.006536	6.073746
1180	136	-1.770884e-01	0.006944	6.178466
