#File	/home/pi/RbData/2019-03-15/POL2019-03-15_192051.dat
#Comments	Run 2/2, AOUT=672, variac->14, nRb->6*^12, pRb->.4, AOUT->672, pump->s+, Run 2/3
#IonGauge(Torr):	2.26E-02
#CVGauge(N2)(Torr):	7.30E-02
#CVGauge(He)(Torr):	1.47E-03
#CURTEMP_R(degC):	-1.000000
#SETTEMP_R(degC):	-1.000000
#CURTEMP_T(degC):	-1.000000
#SETTEMP_T(degC):	-1.000000
#Voltage_He:	672
#LEAKCURR:	0.000000
#SCALE:	6
#AOUTCONV:	0.062140
#REV:	1
#DATAPPR:	60
#STPPERREV:	1200
#DATPTS:	60
#DWELL(s):	1
#QWP(STEP):	170
STEP	COUNT	CURRENT	CURRENTsd	ANGLE
0	157	-2.002931e-01	-0.023810	0.000000
20	147	-1.734245e-01	-0.056478	0.104720
40	146	-2.051783e-01	0.030675	0.209440
60	138	-2.149487e-01	0.044510	0.314159
80	168	-2.015144e-01	0.031250	0.418879
100	152	-1.844162e-01	0.067138	0.523599
120	140	-1.819736e-01	-0.009967	0.628319
140	151	-1.880801e-01	-0.046440	0.733038
160	132	-1.831949e-01	0.016949	0.837758
180	110	-1.856375e-01	-0.012987	0.942478
200	142	-1.868588e-01	0.013245	1.047198
220	134	-1.966292e-01	0.045455	1.151917
240	122	-1.929653e-01	0.029316	1.256637
260	118	-1.868588e-01	0.055172	1.361357
280	142	-1.819736e-01	-0.003344	1.466077
300	138	-1.722032e-01	-0.024221	1.570796
320	126	-1.917440e-01	0.043189	1.675516
340	135	-1.758671e-01	0.021277	1.780236
360	156	-1.856375e-01	0.020134	1.884956
380	123	-1.868588e-01	0.100719	1.989675
400	131	-1.880801e-01	-0.034483	2.094395
420	145	-1.783097e-01	-0.016835	2.199115
440	129	-1.868588e-01	0.044369	2.303835
460	168	-1.746458e-01	-0.017182	2.408554
480	137	-1.746458e-01	0.007042	2.513274
500	130	-1.709819e-01	0.014493	2.617994
520	138	-1.624328e-01	-0.053381	2.722714
540	123	-1.831949e-01	0.016949	2.827433
560	135	-1.783097e-01	-0.020134	2.932153
580	144	-1.783097e-01	0.057971	3.036873
600	143	-1.819736e-01	-0.003344	3.141593
620	117	-1.831949e-01	0.063830	3.246312
640	116	-1.893014e-01	-0.003215	3.351032
660	128	-1.954079e-01	0.066667	3.455752
680	151	-1.831949e-01	0.045296	3.560472
700	122	-1.722032e-01	-0.017422	3.665191
720	140	-1.831949e-01	0.041667	3.769911
740	155	-1.807523e-01	0.013699	3.874631
760	132	-1.722032e-01	-0.017422	3.979351
780	128	-1.783097e-01	0.003436	4.084070
800	170	-1.673180e-01	-0.010830	4.188790
820	133	-1.722032e-01	0.021739	4.293510
840	145	-1.783097e-01	-0.023411	4.398230
860	144	-1.734245e-01	-0.000000	4.502949
880	126	-1.746458e-01	-0.003484	4.607669
900	130	-1.660967e-01	-0.065292	4.712389
920	121	-1.844162e-01	0.013423	4.817109
940	145	-1.685393e-01	0.007299	4.921829
960	132	-1.648754e-01	0.003717	5.026548
980	128	-1.770884e-01	0.024735	5.131268
1000	126	-1.722032e-01	-0.007042	5.235988
1020	135	-1.722032e-01	0.025455	5.340708
1040	131	-1.648754e-01	-0.025271	5.445427
1060	140	-1.636541e-01	0.007519	5.550147
1080	131	-1.844162e-01	0.023729	5.654867
1100	134	-1.734245e-01	0.017921	5.759587
1120	138	-1.612115e-01	-0.060498	5.864306
1140	106	-1.722032e-01	-0.034247	5.969026
1160	121	-1.807523e-01	0.010239	6.073746
1180	137	-1.795310e-01	-0.039216	6.178466
