#File	/home/pi/RbData/2019-03-15/POL2019-03-15_191144.dat
#Comments	Run 2/2, AOUT=528, variac->14, nRb->6*^12, pRb->.4, AOUT->528, pump->none, Run 3/3
#IonGauge(Torr):	2.33E-02
#CVGauge(N2)(Torr):	7.47E-02
#CVGauge(He)(Torr):	1.55E-03
#CURTEMP_R(degC):	-1.000000
#SETTEMP_R(degC):	-1.000000
#CURTEMP_T(degC):	-1.000000
#SETTEMP_T(degC):	-1.000000
#Voltage_He:	528
#LEAKCURR:	0.000000
#SCALE:	6
#AOUTCONV:	0.062140
#REV:	1
#DATAPPR:	60
#STPPERREV:	1200
#DATPTS:	60
#DWELL(s):	1
#QWP(STEP):	082
STEP	COUNT	CURRENT	CURRENTsd	ANGLE
0	2994	-1.746458e-01	-0.020548	0.000000
20	2915	-1.880801e-01	-0.012821	0.104720
40	2956	-1.856375e-01	-0.009772	0.209440
60	3012	-2.063996e-01	0.018072	0.314159
80	2798	-1.880801e-01	-0.019108	0.418879
100	2873	-1.954079e-01	0.035599	0.523599
120	2839	-1.783097e-01	-0.042623	0.628319
140	2903	-2.015144e-01	0.015385	0.733038
160	2921	-1.978505e-01	-0.027027	0.837758
180	3013	-1.783097e-01	-0.029900	0.942478
200	2964	-1.941866e-01	-0.027523	1.047198
220	3033	-2.015144e-01	0.054313	1.151917
240	3002	-1.856375e-01	-0.019355	1.256637
260	3065	-1.978505e-01	0.006211	1.361357
280	3125	-2.051783e-01	0.070064	1.466077
300	3024	-1.917440e-01	-0.009464	1.570796
320	3013	-2.039570e-01	0.015198	1.675516
340	2833	-1.868588e-01	-0.025478	1.780236
360	2914	-2.002931e-01	0.012346	1.884956
380	2968	-2.076209e-01	0.125828	1.989675
400	2957	-2.100635e-01	0.042424	2.094395
420	2897	-1.966292e-01	0.009404	2.199115
440	2946	-2.076209e-01	0.082803	2.303835
460	2895	-1.954079e-01	-0.033233	2.408554
480	3100	-1.831949e-01	-0.044586	2.513274
500	3013	-2.051783e-01	0.037037	2.617994
520	3091	-2.002931e-01	0.015480	2.722714
540	3196	-2.039570e-01	0.003003	2.827433
560	3068	-1.746458e-01	-0.056106	2.932153
580	3072	-2.027357e-01	-0.008955	3.036873
600	3095	-1.966292e-01	0.059211	3.141593
620	3152	-1.954079e-01	-0.041916	3.246312
640	3087	-2.039570e-01	0.030864	3.351032
660	3091	-1.929653e-01	-0.009404	3.455752
680	3050	-2.002931e-01	-0.017964	3.560472
700	2942	-1.990718e-01	0.012422	3.665191
720	2888	-2.173913e-01	0.065868	3.769911
740	3027	-2.161700e-01	0.041176	3.874631
760	3049	-2.002931e-01	-0.003040	3.979351
780	3095	-2.039570e-01	-0.023392	4.084070
800	3064	-2.039570e-01	0.027692	4.188790
820	3123	-2.210552e-01	0.034286	4.293510
840	3130	-1.880801e-01	-0.043478	4.398230
860	3124	-2.051783e-01	-0.008850	4.502949
880	3167	-2.198339e-01	0.040462	4.607669
900	3031	-1.941866e-01	-0.050746	4.712389
920	3019	-1.807523e-01	0.027778	4.817109
940	2949	-1.941866e-01	-0.000000	4.921829
960	2967	-1.990718e-01	-0.006098	5.026548
980	2939	-1.966292e-01	0.028754	5.131268
1000	3034	-2.015144e-01	-0.020772	5.235988
1020	2986	-1.954079e-01	0.056106	5.340708
1040	2919	-1.831949e-01	-0.041534	5.445427
1060	2871	-2.039570e-01	0.021407	5.550147
1080	3041	-2.027357e-01	0.015291	5.654867
1100	3017	-2.039570e-01	0.027692	5.759587
1120	3031	-1.868588e-01	-0.025478	5.864306
1140	3103	-2.002931e-01	-0.000000	5.969026
1160	2971	-2.173913e-01	0.065868	6.073746
1180	2898	-1.807523e-01	-0.035831	6.178466
