#File	/home/pi/RbData/2019-03-15/POL2019-03-15_192205.dat
#Comments	Run 2/2, AOUT=672, variac->14, nRb->6*^12, pRb->.4, AOUT->672, pump->s-, Run 2/3
#IonGauge(Torr):	2.24E-02
#CVGauge(N2)(Torr):	7.29E-02
#CVGauge(He)(Torr):	1.53E-03
#CURTEMP_R(degC):	-1.000000
#SETTEMP_R(degC):	-1.000000
#CURTEMP_T(degC):	-1.000000
#SETTEMP_T(degC):	-1.000000
#Voltage_He:	672
#LEAKCURR:	0.000000
#SCALE:	6
#AOUTCONV:	0.062140
#REV:	1
#DATAPPR:	60
#STPPERREV:	1200
#DATPTS:	60
#DWELL(s):	1
#QWP(STEP):	082
STEP	COUNT	CURRENT	CURRENTsd	ANGLE
0	112	-1.722032e-01	0.032967	0.000000
20	116	-1.893014e-01	0.029900	0.104720
40	139	-1.660967e-01	-0.010909	0.209440
60	151	-1.734245e-01	0.017921	0.314159
80	113	-1.624328e-01	-0.036232	0.418879
100	140	-1.734245e-01	-0.013889	0.523599
120	117	-1.929653e-01	0.093426	0.628319
140	127	-1.795310e-01	-0.020000	0.733038
160	123	-1.831949e-01	0.006711	0.837758
180	125	-1.685393e-01	0.078125	0.942478
200	123	-1.954079e-01	0.095890	1.047198
220	136	-1.563263e-01	-0.058824	1.151917
240	115	-1.844162e-01	0.052265	1.256637
260	129	-1.709819e-01	0.068702	1.361357
280	130	-1.660967e-01	-0.025090	1.466077
300	118	-1.660967e-01	-0.038869	1.570796
320	121	-1.868588e-01	0.026846	1.675516
340	130	-1.831949e-01	0.048951	1.780236
360	117	-1.734245e-01	0.028986	1.884956
380	124	-1.758671e-01	0.058824	1.989675
400	128	-1.636541e-01	-0.032491	2.094395
420	126	-1.844162e-01	0.023729	2.199115
440	143	-1.844162e-01	0.020270	2.303835
460	129	-1.758671e-01	0.035971	2.408554
480	119	-1.758671e-01	-0.000000	2.513274
500	126	-1.599902e-01	-0.047273	2.617994
520	151	-1.758671e-01	0.021277	2.722714
540	129	-1.697606e-01	-0.034722	2.827433
560	123	-1.526624e-01	-0.070632	2.932153
580	114	-1.807523e-01	0.003390	3.036873
600	121	-1.563263e-01	-0.048327	3.141593
620	137	-1.758671e-01	0.014085	3.246312
640	123	-1.685393e-01	0.018450	3.351032
660	115	-1.709819e-01	0.007194	3.455752
680	103	-1.795310e-01	-0.020000	3.560472
700	162	-1.685393e-01	-0.000000	3.665191
720	127	-1.734245e-01	-0.020690	3.769911
740	133	-1.758671e-01	0.028571	3.874631
760	148	-1.441133e-01	-0.144928	3.979351
780	131	-1.795310e-01	0.010309	4.084070
800	135	-1.758671e-01	0.028571	4.188790
820	127	-1.746458e-01	-0.010381	4.293510
840	128	-1.660967e-01	-0.007299	4.398230
860	117	-1.624328e-01	-0.066667	4.502949
880	120	-1.783097e-01	-0.006803	4.607669
900	134	-1.709819e-01	-0.027778	4.712389
920	133	-1.709819e-01	0.007194	4.817109
940	122	-1.722032e-01	-0.010526	4.921829
960	135	-1.697606e-01	-0.044674	5.026548
980	139	-1.599902e-01	-0.090278	5.131268
1000	132	-1.660967e-01	-0.058824	5.235988
1020	110	-1.758671e-01	0.103448	5.340708
1040	160	-1.722032e-01	-0.007042	5.445427
1060	148	-1.758671e-01	0.021277	5.550147
1080	122	-1.636541e-01	-0.069444	5.654867
1100	99	-1.880801e-01	0.003257	5.759587
1120	126	-1.673180e-01	0.026217	5.864306
1140	114	-1.807523e-01	0.027778	5.969026
1160	150	-1.673180e-01	-0.000000	6.073746
1180	132	-1.575476e-01	-0.104167	6.178466
