#File	/home/pi/RbData/2019-03-15/POL2019-03-15_184523.dat
#Comments	Run 1/2, AOUT=528, variac->14, nRb->6*^12, pRb->.4, AOUT->528, pump->s+, Run 2/3
#IonGauge(Torr):	2.26E-02
#CVGauge(N2)(Torr):	7.27E-02
#CVGauge(He)(Torr):	1.50E-03
#CURTEMP_R(degC):	-1.000000
#SETTEMP_R(degC):	-1.000000
#CURTEMP_T(degC):	-1.000000
#SETTEMP_T(degC):	-1.000000
#Voltage_He:	528
#LEAKCURR:	0.000000
#SCALE:	6
#AOUTCONV:	0.062140
#REV:	1
#DATAPPR:	60
#STPPERREV:	1200
#DATPTS:	60
#DWELL(s):	1
#QWP(STEP):	170
STEP	COUNT	CURRENT	CURRENTsd	ANGLE
0	3529	-2.418173e-01	0.031250	0.000000
20	3668	-2.540303e-01	0.027160	0.104720
40	3497	-2.271617e-01	-0.053435	0.209440
60	3480	-2.564729e-01	0.099476	0.314159
80	3579	-2.357108e-01	-0.005155	0.418879
100	3521	-2.393747e-01	0.031579	0.523599
120	3529	-2.283830e-01	-0.005319	0.628319
140	3444	-2.442599e-01	-0.002494	0.733038
160	3425	-2.161700e-01	-0.019391	0.837758
180	3468	-2.369321e-01	0.002584	0.942478
200	3497	-2.271617e-01	-0.008000	1.047198
220	3546	-2.271617e-01	0.039106	1.151917
240	3538	-2.454812e-01	-0.017115	1.256637
260	3534	-2.393747e-01	0.010309	1.361357
280	3419	-2.393747e-01	0.028871	1.466077
300	3454	-2.442599e-01	0.010101	1.570796
320	3456	-2.271617e-01	0.008130	1.675516
340	3393	-2.393747e-01	-0.015075	1.780236
360	3302	-2.332682e-01	0.026882	1.884956
380	3337	-2.247191e-01	-0.013405	1.989675
400	3262	-2.418173e-01	0.015385	2.094395
420	3258	-2.308256e-01	0.047091	2.199115
440	3175	-2.259404e-01	-0.000000	2.303835
460	3319	-2.210552e-01	-0.008219	2.408554
480	3446	-2.479238e-01	0.025253	2.513274
500	3400	-2.357108e-01	0.037634	2.617994
520	3372	-2.247191e-01	0.005464	2.722714
540	3387	-2.393747e-01	0.018182	2.827433
560	3522	-2.405960e-01	0.036842	2.932153
580	3578	-2.308256e-01	0.016129	3.036873
600	3444	-2.332682e-01	-0.025510	3.141593
620	3439	-2.369321e-01	0.026455	3.246312
640	3379	-2.479238e-01	0.035714	3.351032
660	3421	-2.259404e-01	-0.013333	3.455752
680	3359	-2.173913e-01	-0.050667	3.560472
700	3442	-2.222765e-01	-0.010870	3.665191
720	3532	-2.308256e-01	-0.007874	3.769911
740	3391	-2.344895e-01	-0.010309	3.874631
760	3482	-2.332682e-01	-0.005208	3.979351
780	3307	-2.320469e-01	0.013333	4.084070
800	3477	-2.210552e-01	-0.032086	4.188790
820	3423	-2.271617e-01	0.005405	4.293510
840	3469	-2.271617e-01	0.044944	4.398230
860	3417	-2.344895e-01	-0.030303	4.502949
880	3424	-2.259404e-01	-0.010695	4.607669
900	3348	-2.405960e-01	0.002545	4.712389
920	3373	-2.259404e-01	-0.023747	4.817109
940	3296	-2.296043e-01	0.016216	4.921829
960	3229	-2.491451e-01	0.046154	5.026548
980	3219	-2.320469e-01	-0.005236	5.131268
1000	3263	-2.308256e-01	-0.025773	5.235988
1020	3219	-2.173913e-01	-0.055703	5.340708
1040	3297	-2.234978e-01	-0.010811	5.445427
1060	3316	-2.308256e-01	-0.023256	5.550147
1080	3290	-2.210552e-01	-0.039788	5.654867
1100	3378	-2.442599e-01	0.033592	5.759587
1120	3405	-2.491451e-01	0.035533	5.864306
1140	3560	-2.271617e-01	-0.008000	5.969026
1160	3481	-2.283830e-01	-0.023499	6.073746
1180	3595	-2.405960e-01	0.012853	6.178466
