#File	/home/pi/RbData/2019-03-15/POL2019-03-15_190904.dat
#Comments	Run 2/2, AOUT=528, variac->14, nRb->6*^12, pRb->.4, AOUT->528, pump->s+, Run 2/3
#IonGauge(Torr):	2.26E-02
#CVGauge(N2)(Torr):	7.29E-02
#CVGauge(He)(Torr):	1.51E-03
#CURTEMP_R(degC):	-1.000000
#SETTEMP_R(degC):	-1.000000
#CURTEMP_T(degC):	-1.000000
#SETTEMP_T(degC):	-1.000000
#Voltage_He:	528
#LEAKCURR:	0.000000
#SCALE:	6
#AOUTCONV:	0.062140
#REV:	1
#DATAPPR:	60
#STPPERREV:	1200
#DATPTS:	60
#DWELL(s):	1
#QWP(STEP):	170
STEP	COUNT	CURRENT	CURRENTsd	ANGLE
0	3173	-2.063996e-01	0.027356	0.000000
20	3164	-1.880801e-01	-0.031447	0.104720
40	3027	-2.039570e-01	0.043750	0.209440
60	3093	-2.173913e-01	0.062687	0.314159
80	3050	-2.002931e-01	-0.006061	0.418879
100	3000	-2.002931e-01	-0.000000	0.523599
120	3043	-2.161700e-01	0.041176	0.628319
140	3109	-2.076209e-01	0.055901	0.733038
160	3054	-1.905227e-01	-0.076923	0.837758
180	3195	-2.100635e-01	0.017751	0.942478
200	3126	-2.015144e-01	0.009174	1.047198
220	3198	-2.002931e-01	-0.012048	1.151917
240	3137	-1.966292e-01	-0.018293	1.256637
260	3122	-2.076209e-01	0.024096	1.361357
280	3074	-2.039570e-01	-0.031884	1.466077
300	3209	-1.941866e-01	-0.021538	1.570796
320	3068	-2.100635e-01	0.005848	1.675516
340	3042	-2.039570e-01	-0.014749	1.780236
360	2997	-2.259404e-01	0.054131	1.884956
380	2955	-2.100635e-01	0.020772	1.989675
400	2891	-2.076209e-01	-0.011628	2.094395
420	2960	-2.002931e-01	0.054662	2.199115
440	2948	-2.076209e-01	-0.025788	2.303835
460	2945	-2.100635e-01	0.045593	2.408554
480	3053	-2.100635e-01	0.023810	2.513274
500	3215	-2.100635e-01	0.011765	2.617994
520	3129	-2.161700e-01	0.044248	2.722714
540	3258	-2.051783e-01	-0.028902	2.827433
560	3246	-2.161700e-01	0.029070	2.932153
580	3264	-2.161700e-01	0.032070	3.036873
600	3193	-2.100635e-01	-0.025496	3.141593
620	3195	-1.978505e-01	-0.015198	3.246312
640	3242	-1.954079e-01	-0.006211	3.351032
660	3217	-1.954079e-01	-0.050445	3.455752
680	3232	-2.051783e-01	0.005988	3.560472
700	3298	-1.917440e-01	-0.081871	3.665191
720	3220	-2.149487e-01	-0.002833	3.769911
740	3363	-1.954079e-01	-0.018405	3.874631
760	3230	-1.978505e-01	-0.052632	3.979351
780	3308	-2.308256e-01	0.010695	4.084070
800	3456	-2.186126e-01	0.017045	4.188790
820	3312	-2.344895e-01	0.007874	4.293510
840	3303	-2.357108e-01	0.048913	4.398230
860	3403	-2.173913e-01	-0.000000	4.502949
880	3345	-2.234978e-01	0.028090	4.607669
900	3375	-2.088422e-01	-0.005814	4.712389
920	3249	-2.149487e-01	-0.000000	4.817109
940	3289	-2.125061e-01	0.002882	4.921829
960	3260	-2.247191e-01	0.063584	5.026548
980	3247	-2.283830e-01	0.024658	5.131268
1000	3109	-2.357108e-01	0.029333	5.235988
1020	3084	-2.234978e-01	0.008264	5.340708
1040	3183	-2.076209e-01	-0.063361	5.445427
1060	3175	-2.332682e-01	0.018667	5.550147
1080	3261	-2.234978e-01	0.002740	5.654867
1100	3271	-2.149487e-01	0.002849	5.759587
1120	3367	-2.039570e-01	-0.045714	5.864306
1140	3340	-2.112848e-01	-0.044199	5.969026
1160	3497	-2.357108e-01	0.040431	6.073746
1180	3551	-2.173913e-01	-0.000000	6.178466
