#File	/home/pi/RbData/2019-03-15/POL2019-03-15_184637.dat
#Comments	Run 1/2, AOUT=528, variac->14, nRb->6*^12, pRb->.4, AOUT->528, pump->s-, Run 2/3
#IonGauge(Torr):	2.25E-02
#CVGauge(N2)(Torr):	7.28E-02
#CVGauge(He)(Torr):	1.53E-03
#CURTEMP_R(degC):	-1.000000
#SETTEMP_R(degC):	-1.000000
#CURTEMP_T(degC):	-1.000000
#SETTEMP_T(degC):	-1.000000
#Voltage_He:	528
#LEAKCURR:	0.000000
#SCALE:	6
#AOUTCONV:	0.062140
#REV:	1
#DATAPPR:	60
#STPPERREV:	1200
#DATPTS:	60
#DWELL(s):	1
#QWP(STEP):	082
STEP	COUNT	CURRENT	CURRENTsd	ANGLE
0	3440	-2.381534e-01	0.029024	0.000000
20	3393	-2.369321e-01	-0.005128	0.104720
40	3454	-2.381534e-01	-0.017632	0.209440
60	3378	-2.454812e-01	0.033419	0.314159
80	3450	-2.418173e-01	-0.005025	0.418879
100	3414	-2.051783e-01	-0.050847	0.523599
120	3365	-2.393747e-01	-0.012594	0.628319
140	3280	-2.381534e-01	0.015625	0.733038
160	3386	-2.467025e-01	0.041237	0.837758
180	3379	-2.442599e-01	0.049869	0.942478
200	3411	-2.540303e-01	0.047859	1.047198
220	3378	-2.405960e-01	0.026042	1.151917
240	3474	-2.467025e-01	0.043928	1.256637
260	3421	-2.283830e-01	0.053521	1.361357
280	3447	-2.173913e-01	-0.040431	1.466077
300	3444	-2.320469e-01	-0.000000	1.570796
320	3343	-2.357108e-01	0.043243	1.675516
340	3492	-2.467025e-01	0.020202	1.780236
360	3297	-2.234978e-01	-0.044386	1.884956
380	3374	-2.161700e-01	0.026087	1.989675
400	3402	-2.369321e-01	0.010417	2.094395
420	3343	-2.369321e-01	0.023747	2.199115
440	3343	-2.198339e-01	-0.029650	2.303835
460	3469	-2.173913e-01	-0.037838	2.408554
480	3564	-2.344895e-01	-0.000000	2.513274
500	3440	-2.161700e-01	-0.032787	2.617994
520	3317	-2.332682e-01	0.018667	2.722714
540	3405	-2.308256e-01	0.021622	2.827433
560	3451	-2.161700e-01	-0.045822	2.932153
580	3426	-2.308256e-01	-0.035714	3.036873
600	3461	-2.308256e-01	0.002653	3.141593
620	3316	-2.491451e-01	0.046154	3.246312
640	3340	-2.381534e-01	0.015625	3.351032
660	3254	-2.259404e-01	0.027778	3.455752
680	3260	-2.369321e-01	0.013055	3.560472
700	3220	-2.271617e-01	-0.033766	3.665191
720	3222	-2.161700e-01	-0.032787	3.769911
740	3270	-2.234978e-01	-0.018767	3.874631
760	3394	-2.442599e-01	0.058201	3.979351
780	3284	-2.259404e-01	-0.018568	4.084070
800	3377	-2.198339e-01	-0.002770	4.188790
820	3398	-2.344895e-01	0.029491	4.293510
840	3420	-2.344895e-01	0.018568	4.398230
860	3546	-2.063996e-01	-0.014577	4.502949
880	3368	-2.430386e-01	0.025773	4.607669
900	3394	-2.234978e-01	-0.000000	4.712389
920	3286	-2.210552e-01	0.014006	4.817109
940	3404	-2.271617e-01	0.002695	4.921829
960	3277	-2.259404e-01	-0.005376	5.026548
980	3294	-2.296043e-01	0.030137	5.131268
1000	3291	-2.332682e-01	0.046575	5.235988
1020	3276	-2.247191e-01	-0.000000	5.340708
1040	3301	-2.271617e-01	-0.015873	5.445427
1060	3396	-2.467025e-01	0.041237	5.550147
1080	3485	-2.149487e-01	-0.040872	5.654867
1100	3367	-2.247191e-01	-0.018667	5.759587
1120	3458	-2.320469e-01	-0.010417	5.864306
1140	3494	-2.393747e-01	0.059459	5.969026
1160	3442	-2.149487e-01	-0.035616	6.073746
1180	3415	-2.027357e-01	-0.045977	6.178466
